,Key,Topic,Substance,Class,Document
1212,263_salvia divinorum,263,salvia divinorum,Other,i reclined back into the an intense golden light permeated my entire reality . no longer was i sitting in the car on a street somewhere in some neighborhood . but
1213,219_echinopsis peruviana,219,echinopsis peruviana,Serotonergic psychedelics,just have this sense of uneasiness which comes and goes . the come up is fast and i am surprised i think i am starting to see tracers and think i
1214,230_echinopsis peruviana,230,echinopsis peruviana,Serotonergic psychedelics,over healed wounds shows me both how they helped shape me and how they no longer plague me . i can just walk right over and that is just the part
1215,201_alcohol (hard),201,alcohol (hard),Depressant / sedatives,absinthe . i feel i carry some weight with this argument as i have a long history of getting uproariously drunk and also there a pretty strong argument out there that
1216,124_25i-nbome,124,25i-nbome,Serotonergic psychedelics,and get up to move to another bench . i feel like i getting up slowly and that i moving and walking in a very deliberate way . it feels conspicuous
1217,236_salvia divinorum,236,salvia divinorum,Other,know i went into the zipper effect which i have had happen most of the time . there s a cloak in front of me and i zip forward with it
1218,199_echinopsis peruviana,199,echinopsis peruviana,Serotonergic psychedelics,but thought that since it was DATE DATE DATE i may as well break my fast . the sensory experience of eating was remarkable . flavors have so much depth and
1219,77_lsd,77,lsd,Serotonergic psychedelics,me through the mirror but i was separated from myself . i do know how long i watched myself before realizing that delyriem was probably worried about me . i walked
1220,172_lsd,172,lsd,Serotonergic psychedelics,in we immediately wanted to take the acid . none of us were sure how long it would last into DATE DATE DATE so we figured the sooner the better .
1221,264_salvia divinorum,264,salvia divinorum,Other,the salvia i had picked up a glass lip burner roughly the size of my extended fore finger and i christened the new little smoke toy with anticipation . i had
1222,41_6-apb,41,6-apb,Entactogens,. i was listening to some music and decided to draw a i observed pronounced dilation of my pupils and my pulse was strong and fast . the warm rushes were
1223,114_lsd,114,lsd,Serotonergic psychedelics,when out of nowhere a squad car pulls up to the house and both officers quickly get out . they ask where PERSON is and i completely speechless i was wearing
1224,225_salvia divinorum,225,salvia divinorum,Other,ever notice how in dream time DATE DATE DATE can go by and yet the time that passed between going to bed and getting up to take a piss has only
1225,189_5-meo-mipt,189,5-meo-mipt,Serotonergic psychedelics,will have to talk myself into doing it again but i know i will in time . as a further note my girlfriend tried this one at she had fairly strong
1226,167_lsd,167,lsd,Serotonergic psychedelics,up at am DATE DATE DATE and felt normal again . although it seemed very long and tiring at the placeholder i would definitely consider doing lsd again . the next
1227,215_lsd,215,lsd,Serotonergic psychedelics,a part of the legend he is part of the battle for consciousness since sooo long . perseverance integrity a very articulate man . his view is very wide due to
1228,255_5-meo-mipt,255,5-meo-mipt,Serotonergic psychedelics,a mild nausea and discomfort makes itself known to me . due to such a rapid onset i can not be sure if it is placebo or not but it feels
1229,111_etizolam,111,etizolam,Depressant / sedatives,watching it . commercials are on and i barely remember what i was watching . time seems to be flying though it seems like it has been minutes not nearly tripped
1230,104_fentanyl,104,fentanyl,Depressant / sedatives,boyfriend accompanied me . a nurse hooked me up to an iv for a very long time before the doctor was ready to operate . i walked to the room with
1231,73_1p-lsd,73,1p-lsd,Serotonergic psychedelics,mind from my actions and actions of i was still convinced of my powers over time and space so i tried giving one of my an orgasm . at the placeholder
1232,99_salvia divinorum,99,salvia divinorum,Other,the expectations i really went into this thinking just what i had read it was short and very visual and vivid . i had seen videos online of people smoking salvia
1233,116_5-meo-dmt,116,5-meo-dmt,Serotonergic psychedelics,measurements . this substance absolutely requires one have a babysitter especially since it acts so quickly and it easy to drop the pipe and burn oneself and not even know it
1234,133_lsd,133,lsd,Serotonergic psychedelics,person who entered who was not ' our dealer was a complete disappointment . after endless bongloads and beer he finally walked in the door . the evening had i am
1235,31_5-meo-dmt,31,5-meo-dmt,Serotonergic psychedelics,to vibrate and thought i better close my eyes . i can not say how long that peak lasted but it seemed to last forever . i did know if i
1236,271_5-meo-dmt,271,5-meo-dmt,Serotonergic psychedelics,tripped before and it only lasted about minutes of real intensity . it may have extended further but i was still on the outskirts of an acid trip a trip some
1237,130_salvia divinorum,130,salvia divinorum,Other,then laid back again . this is where the fun all started . my visions quickly started to become blurred . well actually i should say blurred it was more of
1238,276_gbl,276,gbl,Depressant / sedatives,and it smoothed out the e comedown very nicely . we all had a grand time just completely sprawled out on the floor with blankets bean bags and pillows listening to
1239,216_ethylphenidate,216,ethylphenidate,Stimulants,it so i decide not to dose again . i take clonazepam and feel better shortly once the anxiety fades . i briefly wonder what it might be like to iv
1240,228_lsd,228,lsd,Serotonergic psychedelics,it is strange i ca help it . i feel like i still on my period . i have never ever felt like this in my whole life . maybe i
1241,273_salvia divinorum,273,salvia divinorum,Other,was then sitting in my chair frightened like no other . i do know how long i will wait before i try it again because the fear was really bad but
1242,173_amanita muscaria,173,amanita muscaria,Dissociative psychedelics,to continue expereincing that level . but once you eat more of them it no longer pleasurable more of a with mental stimulation like powerful acid yet no visuals that are
1243,208_amt,208,amt,Serotonergic psychedelics,this problem first showed up after the or ectasy pills i taken in my life time . it was even worse after the amt . overall the amt trips were for
1244,188_dxm,188,dxm,Dissociative psychedelics,to the next placeholder i took of GPE DATE DATE DATE i had a horrific time . i remember nothing about the trip thank goodness but i to ' feeling filthy
1245,269_mdma,269,mdma,Entactogens,mood was still higher than it would ever normally be but my ' had mostly passed . they all commented on how positive i was being that night but they never
1246,3_mdma,3,mdma,Entactogens,was completely different . i do know if it was because my friends had more time to think about it and respond or if it was just the right placeholder but
1247,194_amphetamine,194,amphetamine,Stimulants,DATE taking it because i only took it when i played golf and only a time . if i ran out of adderall i did nt feel depressed or have a
1248,18_mdma,18,mdma,Entactogens,my dresser rolled it up and took the whole thing up my nostril in one quick snort . i think the next few minutes i spent holding my nose shut running
1249,217_dxm,217,dxm,Dissociative psychedelics,i went into the bathroom . avoiding the evil mirror i made my way very slowly over to the toilet and started going . i looked over to the shower which
1250,62_mdma,62,mdma,Entactogens,lack of intensity i had a few hours ago while rolling hard . i slept long and well that night and DATE DATE DATE life was beautiful . nature was gorgeous
1251,149_echinopsis pachanoi,149,echinopsis pachanoi,Serotonergic psychedelics,. it was a party atmosphere where my friends were drinking and having a fun time . time i decided to only take of a trip just to be safe and
1252,102_amphetamine,102,amphetamine,Stimulants,that ORG agents baking soda would the actions of amphetamines ' by increasing their absorption rate . exctited by the prospect of an even stronger buzz i consumed baking soda according
1253,63_amphetamine,63,amphetamine,Stimulants,i stopped using adderall i went on a crazy crying binge . i was no longer happy i quit pot for it . i tried to go back to pot but
1254,144_psilocybin mushrooms,144,psilocybin mushrooms,Serotonergic psychedelics,see if it was legit or not in the end we were doing fine on time and if it was a bust we would just head straight to the concert approx
1255,107_psilocybin mushrooms,107,psilocybin mushrooms,Serotonergic psychedelics,DATE night trippin our balls off talking the shit and just havin a good old time . we ate the mushrooms about an hour and a half before sitting around the
1256,187_echinopsis pachanoi,187,echinopsis pachanoi,Serotonergic psychedelics,itself . only one drawback and that is because it is a drug . throughout time these drugs were considered sacred and holy . GPE GPE GPE is such a young
1257,54_amanita muscaria,54,amanita muscaria,Dissociative psychedelics,i work at so i took a deep breath and remained patient . during the time before my trip i was feeling very good . i have been taking GPE for
1258,278_psilocybin mushrooms,278,psilocybin mushrooms,Serotonergic psychedelics,chakra points were completely open and i was glowing with energy . though this was shortly forgotten the element of fear for now after i started walking around and attempted to
1259,76_echinopsis pachanoi,76,echinopsis pachanoi,Serotonergic psychedelics,through a blender to separate the psychoactive alkaloids from the plant matter . during a period of experimentation with these i left a batch of cactus flesh in a freezer for
1260,170_mdma,170,mdma,Entactogens,dating this guy totally changed my perspective . the pills had fucked him up really fast after the first placeholder that he tried it he only wanted more and he got
1261,69_amphetamine,69,amphetamine,Stimulants,about of a tablet . i read the first pages of dune in a hour period watched tv read another pages and then tried to go to sleep at . no
1262,45_mdma,45,mdma,Entactogens,past it . i was really getting into this music and this dancing and a quick look around assured me that everyone else was too and no one was even thinking
1263,24_psilocybin mushrooms,24,psilocybin mushrooms,Serotonergic psychedelics,yet again i ca help but join in on the laughter . we were cut short of pissing our pants of laughter when we heard the front door open . four
1264,26_mdma,26,mdma,Entactogens,e it does the same thing except my thoughts are far more intense and lightning fast . so those i have drift into my mind are recognized and passed on in
1265,43_quetiapine,43,quetiapine,Antidepressants / antipsychotics,i began to notice some changes . my vision was starting to blur . as time passed it blurred a bit more . i have an astigmatism but i know this
1266,242_quetiapine,242,quetiapine,Antidepressants / antipsychotics,done seroquel before but only mg at a placeholder . i was walking to first period stopped at a drinking fountain and popped the half pill . i was sitting in
1267,38_lsd,38,lsd,Serotonergic psychedelics,i felt it was a fair trade off because they taste so good . the time is now we eventually go back to ORG ORG and bam there was another PERSON
1268,180_salvia divinorum,180,salvia divinorum,Other,like the carpet was a giant blanket and from the position i felt i was slowly laying back pulling the carpet with me like a blanket on a bed . i
1269,160_salvia divinorum,160,salvia divinorum,Other,am writing this report something like DATE after the experience . it took me a long time to try to figure out what happened and try to put words on the
1270,88_echinopsis pachanoi,88,echinopsis pachanoi,Serotonergic psychedelics,right now . got ta stay clean for the greater good though . still feeling speedy characteristics with that marked hallucinogenic ' when i want to exacerbate the effects . the
1271,36_amanita muscaria,36,amanita muscaria,Dissociative psychedelics,onions potatoes and cheese . i am aware of the fact that many prefer to fast before a psychedelic experience i prefer to eat a light meal since i know food
1272,220_salvia divinorum,220,salvia divinorum,Other,lips to just smile . i felt like my mouth had become some grossly exagerated length and then my head felt all funny . i could move my chin down towards
1273,90_echinopsis pachanoi,90,echinopsis pachanoi,Serotonergic psychedelics,. for that i had become to empty now too melancholy and i could no longer appreciate the world as i once had been able to . i tried to become
1274,210_salvia divinorum,210,salvia divinorum,Other,was rolling through a v shaped wedge of space from the pointed end out to infinity . each placeholder through i got a bigger ' of reality until i finally came
1275,50_salvia divinorum,50,salvia divinorum,Other,chamber fill up with the white smoke that i took in deeply . then i passed the bong to PERSON . i was surprised at how much smoke i was getting
1276,132_5-meo-dmt,132,5-meo-dmt,Serotonergic psychedelics,after a war inside the foundation of an old house that had collapsed . i slowly came to flopping my arms around and letting go of the sand that i had
1277,115_lsd,115,lsd,Serotonergic psychedelics,are in the . i popped two tabs upon arrival to the course after a long drive . it was sunny a soft cool breeze and holes ahead of us .
1278,176_jwh-018,176,jwh-018,Depressant / sedatives,was usual for me i continue watching tv until i realize i ca think i slowly begin shaking and twitching more and more over the next few minutes . i realize
1279,47_salvia divinorum,47,salvia divinorum,Other,terribly thankful that the peak of the effects only last minutes for me . any longer and i think i go mad . but at the same placeholder that short duration
1280,253_4-aco-dmt,253,4-aco-dmt,Serotonergic psychedelics,and i would get tired of the state i was in and then i would slowly slip back into nothingness and become ignorant again . it was a process of rebirth
1281,66_jwh-018,66,jwh-018,Depressant / sedatives,i exhaled there was a lot but still there . i immediately felt my heart rate speed up and could feel the buzz growing . i learned how it runs away
1282,226_4-aco-dmt,226,4-aco-dmt,Serotonergic psychedelics,i felt it is impossible to make anyone sometime later i realized that i was slowly coming down . it was an incredible moment of relief and euphoria filled every inch
1283,148_lsd,148,lsd,Serotonergic psychedelics,run this race . the gun goes off and i sprint out from the grass passing most of the runners within the first stretch . i feel like i have massive
1284,265_sceletium tortuosum,265,sceletium tortuosum,Depressant / sedatives,i smoked the rest with GPE or pot and sometimes chewed some most of the time with a nicotine gum . the mix with ORG ORG or nicotine is nice and
1285,122_substituted piperazines,122,substituted piperazines,Stimulants,but still very dizzy . it seems any positive effects are happening now feel slightly speedy but in a more controllable way . midnight now feeling close to baseline but have
1286,165_tramadol,165,tramadol,Depressant / sedatives,my room almost forgetting which way to turn out of my bathroom . i eventually passed out around hour after the intense itching died down . i woke up DATE afternoon
1287,103_lsd,103,lsd,Serotonergic psychedelics,but the same thing happened there voices went silent at the point they said the time . i think this is the point i became freaked out and started to worry
1288,195_ketamine,195,ketamine,Dissociative psychedelics,to relax into a prone position as the k took effect . due to the fast onset we took care to have everything we might want in the hours ahead etc
1289,79_tramadol,79,tramadol,Depressant / sedatives,taken more than mg . i know that i fairly sensitive to substances and the rate at which i develop a noticeable tolerance to tramadol is enough for me to curb
1290,109_ketamine,109,ketamine,Dissociative psychedelics,would struggle to describe to one another what we were saying in broken sentences that slowly made more sense get lost telling simple anecdotes etc . visuals slowly returned to normal
1291,33_salvia divinorum,33,salvia divinorum,Other,know how i would react . i started off with the first bowl and i quickly realized these bowls were huge because i kept inhaling and the smoke just kept coming
1292,153_lsd,153,lsd,Serotonergic psychedelics,all that spiders recording yeah i keep thinking seeing spiders like really creepy big daddy long leg ones and trying to cuddle me laughs and its great . i want them
1293,156_lophophora williamsii,156,lophophora williamsii,Serotonergic psychedelics,the hut on the cold and wet dirt floor my sense of smell could no longer detect sweat or the pungent smoke that permeated everything . the girls were on one
1294,147_lophophora williamsii,147,lophophora williamsii,Serotonergic psychedelics,who i was and all was very i closed my eyes again and saw a short image from my childhood and had to start crying i cried forever it was awesome
1295,141_ketamine,141,ketamine,Dissociative psychedelics,i been trying to recreate that experience but i never have . my tolerance has slowly been building up where it is now to the point that doing three bags will
1296,101_ketamine,101,ketamine,Dissociative psychedelics,us doing it was about when we picked up the gram for and then we slowly made our way back to my house where we would be planning on entering the
1297,87_ketamine,87,ketamine,Dissociative psychedelics,this process . being aware that i may have been depressed anxious angry for so long that some close friends family would know how to relate to the new healthier me
1298,235_2c-p,235,2c-p,Serotonergic psychedelics,likes mystics . because if we define the mystic as the person who is no longer scared of death because the mystic in the simplest possible language is the person that
1299,112_zolpidem,112,zolpidem,Depressant / sedatives,relief is very different . with ambien the pain is gone . it just no longer there . it like a lidocaine injection . with opioids i still feel the pain
1300,227_ketamine,227,ketamine,Dissociative psychedelics,a black odd shaped hole in its center nothing else for what seemed to be eternity could not close my eyes turn away from it it was there and my thoughts
1301,155_zolpidem,155,zolpidem,Depressant / sedatives,at the placeholder of the occurrence . i have had many negative effects and no longer use the drug . as i was saying i had been rather sleepless . something
1302,42_ketamine,42,ketamine,Dissociative psychedelics,experience and if i were to reach my bed i would have to do it fast so i got up turned everything in my living room off and went to my
1303,154_zolpidem,154,zolpidem,Depressant / sedatives,working on a third pill to finished preparing line for insufflation . will commence insufflating shortly . i am still feeling a bit dodgy and a little confused . i feel
1304,251_2c-i,251,2c-i,Serotonergic psychedelics,ten minutes later i was tripping balls . it did seem like there was a long come up it just felt instantaneous . i was sitting on a couch and the
1305,281_2c-i,281,2c-i,Serotonergic psychedelics,city . when we got off i was peaking pretty hard . we got on long escalator which is one of the largest in the city and rode it to the
1306,84_ketamine,84,ketamine,Dissociative psychedelics,this mass of noise nonsense and i have not taken ketamine since i have spent long periods of time trying to work out what earth has no could possibly have meant
1307,40_2c-i,40,2c-i,Serotonergic psychedelics,almost psychic communication that is common when we trip together . we talked for a long time about the limits of communication and how there was always thing that you ca
1308,95_4-aco-dmt,95,4-aco-dmt,Serotonergic psychedelics,you did you should be here . then after i spent what felt like infinite time in complete hysterics over reliving my child death i was sent straight to all my
1309,22_4-aco-dmt,22,4-aco-dmt,Serotonergic psychedelics,mdma type of feeling this was nice but in the next half hour after it quickly gave me a feeling that i was dying and caused hallucinations so strong that my
1310,244_salvia divinorum,244,salvia divinorum,Other,an image . i was aware that each page was of a different universe or time . i tried to enter the book but the pages were turning too quickly .
1311,229_5-meo-dmt,229,5-meo-dmt,Serotonergic psychedelics,yoga mat and he move along to the next i tried not to stare too long at any of these interactions as i wanted to respect people experiences and give them
1312,215_lsd,215,lsd,Serotonergic psychedelics,a part of the legend he is part of the battle for consciousness since sooo long . perseverance integrity a very articulate man . his view is very wide due to
1313,72_5-meo-dmt,72,5-meo-dmt,Serotonergic psychedelics,makes you want to pack the cone again it tapers off to the most interesting period of ego detachment ever experienced . i came out understanding that i did like myself
1314,260_heroin,260,heroin,Depressant / sedatives,tell you what i was human animal just the highest i ever been i did pass out all i can remember is saying the what ' over and over again .
1315,280_salvia divinorum,280,salvia divinorum,Other,of reality falling apart into a triangular kaleidoscope into every direction . i was no longer a body . i was this kaleidoscope spiraling in every direction . the spirals kept
1316,143_2c-e,143,2c-e,Serotonergic psychedelics,school . first alert was a slight buzz and light visual tendencies that crept up slowly through DATE DATE DATE DATE DATE to minutes . the minutes after that we were
1317,134_heroin,134,heroin,Depressant / sedatives,i drew the plunger back to see if i was in and injected the contents slowly . the heroin quickly gave me an effect but it did feel much different from
1318,16_lsd,16,lsd,Serotonergic psychedelics,it at this point in for i really think one of the great things about slow acting psychedelics . that waiting period before they kick in gives me time to accept
1319,92_heroin,92,heroin,Depressant / sedatives,us safe from addiction . unless you consider the nagging feelings . i worked plenty long as a substance abuse counselor to know precisely how to construct this madness . just
1320,68_salvia divinorum,68,salvia divinorum,Other,feel it was beyond human comprehension . my closest approximation would be that i saw infinity . i ca remember it well but even if i did i would be able
1321,206_lsd,206,lsd,Serotonergic psychedelics,me stimulants feel like pushing a button in my brain body and force my heart rate up . they rev my internal engine . in contrast minidosing is more of a
1322,23_salvia divinorum,23,salvia divinorum,Other,. upon seeing this PERSON told me that i had let out the smoke too quickly . . . that i would feel anything unless i took another hit right away
1323,105_lsd,105,lsd,Serotonergic psychedelics,at high speed from the bed of a truck . we got there in no time and after stepping out the road took an interesting turn or an ' . i
1324,213_5-meo-dipt,213,5-meo-dipt,Serotonergic psychedelics,the food places around . anorexia is not a of this stuff at about hours elapsed about i say that i was peaking . i was totally engrossed in the orb
1325,279_5-meo-dipt,279,5-meo-dipt,Serotonergic psychedelics,it does stay out of your way though and perhaps a bike ride or a steady hike would have use for it . i also feel i should point out that
1326,25_salvia divinorum,25,salvia divinorum,Other,other substance has ever done . indeed the salvia experience was so i was no longer sure where is . my with trying to integrate the salvia experiences into my worldview
1327,65_lsd,65,lsd,Serotonergic psychedelics,and the typical fear of being in that mental state forever but most of the time i was even aware enough to consider it abnormal . i also remember feeling like
1328,60_lsd,60,lsd,Serotonergic psychedelics,all of my best designs and ideas come in the shower . not sure how long i was under the water when the shit began to hit the fan . but
1329,223_salvia divinorum,223,salvia divinorum,Other,. these fractal realities were simply the universe contracting on itself as it ended . slowly now my conscioussness reasserted itself now the changes slowed down . i still have the
1330,15_ibogaine,15,ibogaine,Serotonergic psychedelics,life in the universe comes down to me setting off a bomb at a precise time . the end comes . all beings in the universe have gathered gods and what
1331,224_ibogaine,224,ibogaine,Serotonergic psychedelics,i in GPE taking ibogaine in the first place my heart was beating loud and fast and i could hear my pulse racing . my uneasiness only seemed to make everything
1332,85_4-ho-mipt,85,4-ho-mipt,Serotonergic psychedelics,the physical body while fasting will probably benefit there is temptation to i wasting valuable time with typing . sorry . no i ca nt leave . i god knows my
1333,259_4-ho-mipt,259,4-ho-mipt,Serotonergic psychedelics,DATE DATE we walked from my place to a nature preserve . it just a short walk and soon we find ourselves in the forest . deciduous trees mostly at this
1334,6_dxm,6,dxm,Dissociative psychedelics,i went to the bathroom and dry heeved several times but nothing came up . quickly after the nausea passed and for the first and only time during the experience i
1335,182_salvia divinorum,182,salvia divinorum,Other,was not burning so i cause a fire . i read many reports on how fast the come on was but nothing can prepare you for how fast reality changes .
1336,91_salvia divinorum,91,salvia divinorum,Other,dissapear and in other locations . it was truly strange . the tube seemed to slow down and i felt a jarring thud . no pain still but almost like i
1337,237_salvia divinorum,237,salvia divinorum,Other,recently received my next larger order of dried leaves and gr of extract . starting slow forget . experimented a few times alone without dear and not smoking more than i
1338,58_salvia divinorum,58,salvia divinorum,Other,some sort of school or holding area for . ' ok class just give him time to adjust ' i swear that what the disembodied voice said as i struggled with
1339,106_2c-e,106,2c-e,Serotonergic psychedelics,the memory came up was painful and was supressed again immediately . this is the time i had such a close look at such processes as they happen . i ca
1340,222_2c-i,222,2c-i,Serotonergic psychedelics,of me seemed to push outward at my face bending and bending back again any time i moved my head . when i stood still it would stop . . there
1341,129_lsd,129,lsd,Serotonergic psychedelics,i thought that maybe i was already growing use to my new state but as time went on it was clear that the awakening was fading . any effects not attributable
1342,94_hydrocodone,94,hydrocodone,Depressant / sedatives,the workers comp doctor and my personal physician we determined that vicodin could be the short term answer . my workers comp doctor was reluctant to give me hydrocodone so i
1343,96_amt,96,amt,Serotonergic psychedelics,headache and we all sort of simultaneously realize we been clenching and grinding for a long time . some gum is dispensed with varying results . for myself it eliminated the
1344,183_echinopsis pachanoi,183,echinopsis pachanoi,Serotonergic psychedelics,it makes no difference if i with people or alone physically because i alone so long as i stay here . just as i become frustrated and want a change of
1345,185_2c-c,185,2c-c,Serotonergic psychedelics,keeping in mind that after so many experiences with smoked base tryptamines in such a short time period i really did have any unsatisfied desires for tripping hard at all that
1346,152_psilocybin mushrooms,152,psilocybin mushrooms,Serotonergic psychedelics,around . i ask the other guys who now look very distorted getting fat and long especially b who is reminding me of a o d and i have split up
1347,120_ayahuasca,120,ayahuasca,Serotonergic psychedelics,i certainly do feel crazy about believing so when more established theories include created it period . it magic do i read in articles about ayahuasca that it your questions '
1348,89_ayahuasca,89,ayahuasca,Serotonergic psychedelics,ceremonies with three different shamans . the first two sessions took place in villages a short boat ride from iquitos . the third took place in manu national each session was
1349,277_dmt,277,dmt,Serotonergic psychedelics,say it was more feminine than masculine but be sure this figure was blue with long black scrapped back hair with a gold head band and gold accessories around its neck
1350,2_cannabis spp.,2,cannabis spp.,Depressant / sedatives,PERSON and i was immediatly transformed into a different world . the music seamed to slow and speed up growing in my wonder . i felt part of the music like
1351,221_mdma,221,mdma,Entactogens,rapids of a surface . instead i find myself in the grips of an depths slower paced yet tremendously more t pm my arm is cramping from writing notes about the
1352,202_cannabis spp.,202,cannabis spp.,Depressant / sedatives,the joint . after a few i began to feel very odd indeed and very quickly it appeared as if time was going backwards . after that i stumbled back to
1353,49_psilocybin mushrooms,49,psilocybin mushrooms,Serotonergic psychedelics,found myself back in the kitchen . the shrooms were begining to peak . no longer would i have to walk from room to room i would just find myself there
1354,245_ayahuasca,245,ayahuasca,Serotonergic psychedelics,could not drink it all in one gulp . i had to sip at it slowly over about a half hour period of time . when a made the liquid he
1355,21_melatonin,21,melatonin,Depressant / sedatives,up once in the night but when i fall back to sleep which is often quickly that s when the dreams begin . its pretty amazing i quite look forward to
1356,35_dob-dragonfly,35,dob-dragonfly,Serotonergic psychedelics,dose is still no effects oz . of abv bud light is consumed over the period of an last dose is taken mild confusion brighter colors are noticed . slight stimulation
1357,146_psilocybin mushrooms,146,psilocybin mushrooms,Serotonergic psychedelics,this also exists and i am privy to it and that it took me a long long time and wild horrible experiences in the physical world to slowly make me realize
1358,10_2c-i,10,2c-i,Serotonergic psychedelics,point with and i would feel something . but i felt absolutely sober . no accelerated heart rate no pupil dilation . nothing . my friends dose each of my first
1359,126_psilocybin mushrooms,126,psilocybin mushrooms,Serotonergic psychedelics,outdoors that we were in . man and nature was one living and breathing in time with one j my friend and i decided to walk down the highway at this
1360,117_ayahuasca,117,ayahuasca,Serotonergic psychedelics,was second to none . i never been so thankful for the people and the time i spent at this retreat we drank three times during DATE DATE and followed a
1361,205_psilocybin mushrooms,205,psilocybin mushrooms,Serotonergic psychedelics,which were asked by my sitter as a challenge to my convictions but for the longest time i wanted to know am i ' and i feel this particular experience of
1362,17_psilocybin mushrooms,17,psilocybin mushrooms,Serotonergic psychedelics,i was about to die . i decided that the moment of death lasts an infinity . at the moment of death one consciousness slows infinitely . in mathematics this would
1363,179_psilocybin mushrooms,179,psilocybin mushrooms,Serotonergic psychedelics,fire seemed to leap out onto us in a dancing red visual display . the long wooden pipe stretched and shrank . i could no longer feel the jittery begging of
1364,97_dmt,97,dmt,Serotonergic psychedelics,a cactus field of great GPE and ox tongues swaying gently as sheets of stars pass above careening archetypes appearing and disappearing in front of me a pirandellonian clown a giant
1365,138_psilocybin mushrooms,138,psilocybin mushrooms,Serotonergic psychedelics,respective eights of mush madness to good use i never expected that only a few short hours from then i would be hanging precariously from a cliff of crumbling rock and
1366,283_caffeine,283,caffeine,Stimulants,but not much over the movement . i forced this movement to stop for a short while but when it started again i decided we should leave . we meet with
1367,64_caffeine,64,caffeine,Stimulants,my coworker to throw away . the only benefit was probably that i was moving fast . i do know how long i been awake but the caffeine had taken control
1368,19_psilocybin mushrooms,19,psilocybin mushrooms,Serotonergic psychedelics,i get into them . i awoke around the next morning as if from a long and comfortable nights sleep my friend left for work and i left for home .
1369,249_psilocybin mushrooms,249,psilocybin mushrooms,Serotonergic psychedelics,in the driver seat close his door and put the car into gear . i quickly blocked the roadway activated my spotlight and exited my vehicle . i observed five subjects
1370,181_buprenorphine,181,buprenorphine,Depressant / sedatives,be getting the implants for as placeholder as necessary for me to keep clean life long if need be . thank you all so much for reading this hopefully it helps
1371,100_psilocybin mushrooms,100,psilocybin mushrooms,Serotonergic psychedelics,was a view that consisted of the entire city below to the left of the endless forested mountain to the right and of a field of recurring clouds in uniform pattern
1372,192_psilocybin mushrooms,192,psilocybin mushrooms,Serotonergic psychedelics,was tripping very hard at this point and thoughts in my head were racing extremely quickly . my thought trains were on the express track . PERSON mentioned that he had
1373,82_psilocybin mushrooms,82,psilocybin mushrooms,Serotonergic psychedelics,under the water loose with a sterilized spoon . again replace the lid and band quickly . a full print according to pf can be used in milliliters of water yet
1374,267_mdpv,267,mdpv,Stimulants,feel the right part but not the left one . my general body movements are slow rigid and imprecise . i am moving as someone who had done too much sport
1375,214_doi,214,doi,Serotonergic psychedelics,and these seemed to be projected from this soon after that the melatonin made me pass out and i got about hours of restless sleep before waking up . at least
1376,51_2c-i,51,2c-i,Serotonergic psychedelics,with dmt before and have seen been beyond reality into higher dimensions of space and time but is this scene in front of me the most beautiful and insane thing i
1377,268_psilocybin mushrooms,268,psilocybin mushrooms,Serotonergic psychedelics,see hourly changes . cake shows lots of new pins . everything is happening very fast DATE DATE removed a nine mushrooms off cake again proof you need to let the
1378,275_mdma,275,mdma,Entactogens,the trip we were going hard . my jaw started clinching so much . i passed around the gum i had brought . i also pulled out my only joint and
1379,135_psilocybin mushrooms,135,psilocybin mushrooms,Serotonergic psychedelics,though heard they taste like shit . r another buddy from high school and my short college tennis career came over and chilled while we ate them . like i said
1380,30_mdma,30,mdma,Entactogens,did acid a few times and shied from it because i did care for the length of the trip . i did acid a few times and shied from it because
1381,282_dxm,282,dxm,Dissociative psychedelics,sort emerged from deep within me . i sought an eternal moment and a dying eternity unfolded before me . it was this unity between my soul and the cosmos that
1382,191_psilocybin mushrooms,191,psilocybin mushrooms,Serotonergic psychedelics,and get some more sleep but i soon discover my shoes are missing . how long have i been barefoot i wonder . retracing my steps i find my shoes and
1383,243_mdma,243,mdma,Entactogens,. i do really know if that cool or not but i really miss the time when i used to pop just a little bit of molly and trip alllll night
1384,248_psilocybin mushrooms,248,psilocybin mushrooms,Serotonergic psychedelics,christianity and was a zealous believer until around grade at which point i began a long difficult journey away from faith . i spent DATE DATE DATE of my life searching
1385,67_mdma,67,mdma,Entactogens,meth hard to get the rush but for me a minute of bliss is no longer worth it . that being said i can imagine a young person wanting to experiment
1386,284_mdpv,284,mdpv,Stimulants,of what was a small meal to start with has to be forced down . shortly after i want to drink a fizz vitamins minerals and start to notice how weird
1387,207_psilocybin mushrooms,207,psilocybin mushrooms,Serotonergic psychedelics,my eye and an infectious smile beaming out from a happy face . i thought long and hard about whether or not i had reached a state of mind that i
1388,78_dpt,78,dpt,Serotonergic psychedelics,effect cue . body vibe and visuals platue at peak lvls for about an everything slowly goes away till this placeholder i saw intricate patterns and occasionally dimensional images with closed
1389,177_psilocybin mushrooms,177,psilocybin mushrooms,Serotonergic psychedelics,i went downstairs and did some chores gradually bedding myself back into this place . shortly after my family came home and although it felt strange to talk at first i
1390,254_2c-c,254,2c-c,Serotonergic psychedelics,largely normal with occasional bursts of excessive emotion . i was watching PERSON almighty the time . it got sad parts . my muscles were loose and comfy allowing good chilling
1391,32_dob,32,dob,Serotonergic psychedelics,the taste was horrible but worth it for a new experience . about an hour passed . anyone who has done lsd before knows that the effects normally become apparent after
