,Topic Nr,Topic,Substance,Class,Document
4201,2,002 - music - sound - playing,nitrous oxide,Dissociative psychedelics,"...audible . i tend to start hearing myself breathing , and i generally know its time to quickly grab the nose piece and push it down , making me breathe straight... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=51177#:~:text=audible.%20I%20tend,me%20breathe%20straight>URL</a>)"
4203,2,002 - music - sound - playing,nitrous oxide,Dissociative psychedelics,"...and was lounging in a comfortable reclining armchair . suddenly , after inhaling it the time , i noticed that things did not sound the same anymore . it was like... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=4047#:~:text=and%20was%20lounging,it%20was%20like>URL</a>)"
4227,2,002 - music - sound - playing,nitrous oxide,Dissociative psychedelics,"...that , it was amazing every thing was like a dream , everything happening so fast my mate shirt looked so vibrant , and the music in the background sounded so... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=84059#:~:text=that,%20it%20was,background%20sounded%20so>URL</a>)"
4246,2,002 - music - sound - playing,nitrous oxide,Dissociative psychedelics,"...hole would spin , and i heard sound with it . as they began to slow , the sound slowly lowered in pitch , like a record slowing down . the... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=110923#:~:text=hole%20would%20spin,,slowing%20down.%20the>URL</a>)"
4277,2,002 - music - sound - playing,nitrous oxide,Dissociative psychedelics,".... the sound then modulated a little , and returned to normal , at which time i realized that it was the music from ORG ORG in the although it was...- TBS:1.0  (NO URL)"
4306,2,002 - music - sound - playing,nitrous oxide,Dissociative psychedelics,"...went on for what seemed like a minute or two , but was probably only slowly the music began to return to normal , i felt almost reunited with my body... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=107752#:~:text=went%20on%20for,with%20my%20body>URL</a>)"
4322,2,002 - music - sound - playing,nitrous oxide,Dissociative psychedelics,"...my personal experience was great . i was huffing the balloon and everything began to slow down , the music slowed to a beat that i could see and people began... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=1374#:~:text=my%20personal%20experience,and%20people%20began>URL</a>)"
4328,2,002 - music - sound - playing,nitrous oxide,Dissociative psychedelics,"...chunky hard to describe . the music playing in the background seemed to be going slower than before , and the balloon i was breathing into and out of was expanding... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=2108#:~:text=chunky%20hard%20to,of%20was%20expanding>URL</a>)"
4343,2,002 - music - sound - playing,nitrous oxide,Dissociative psychedelics,"...musical commercial i was hearing on television seemed to go on and on in an endless loop , seeming to last nearly seconds . i was darn well aware that the... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=16859#:~:text=musical%20commercial%20I,aware%20that%20the>URL</a>)"
4352,2,002 - music - sound - playing,nitrous oxide,Dissociative psychedelics,"...to hit the couch but while i watched the . more than seconds could have passed because the toons on the . played at a normal rate . but the sound... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=39769#:~:text=to%20hit%20the,but%20the%20sound>URL</a>)"
7780,2,002 - heart - rate - beating,nymphaea caerulea,Depressant / sedatives,"...relieve by vomiting . then i proceeded to experience a stimulating effect with raised heart rate and insomnia . i felt very uncomfortable for several hours and kept pacing my room... - TBS:0.435  (<a href=https://erowid.org/experiences/exp.php?ID=84116#:~:text=relieve%20by%20vomiting.,pacing%20my%20room>URL</a>)"
7093,2,002 - heart - rate - beating,oxycodone,Depressant / sedatives,"...teeth a sort of buzz or vibration that seems to pulse , my heart is slower , i believe this is part of the high . this is not the end... - TBS:0.857  (<a href=https://erowid.org/experiences/exp.php?ID=81018#:~:text=teeth%20a%20sort,not%20the%20end>URL</a>)"
7161,2,002 - heart - rate - beating,oxycodone,Depressant / sedatives,"...body . i light up my joint and turn on some netflix , my heart rate is slightly increased though i think just from excitement and anticipation , nothing to worry... - TBS:0.83  (<a href=https://erowid.org/experiences/exp.php?ID=111325#:~:text=body.%20I%20light,nothing%20to%20worry>URL</a>)"
7174,2,002 - heart - rate - beating,oxycodone,Depressant / sedatives,"...want to be doing anything else . i also start noticing that me breathing is slower , but i know i on this dose before so i worry about it .... - TBS:0.826  (<a href=https://erowid.org/experiences/exp.php?ID=94897#:~:text=want%20to%20be,worry%20about%20it.>URL</a>)"
7263,2,002 - heart - rate - beating,oxycodone,Depressant / sedatives,"...i was rollin on nearly just to sleep , and rollin on atleast all day long . it was getting i took a DATE DATE break and the chest pains hit... - TBS:0.795  (<a href=https://erowid.org/experiences/exp.php?ID=66654#:~:text=i%20was%20rollin,chest%20pains%20hit>URL</a>)"
7476,2,002 - heart - rate - beating,oxycodone,Depressant / sedatives,"...could feel my arms or legs , and soon enough my breathing became shallow and short . once and again , i experienced what they call apnea , where i completely... - TBS:0.703  (<a href=https://erowid.org/experiences/exp.php?ID=75307#:~:text=could%20feel%20my,where%20I%20completely>URL</a>)"
7675,2,002 - heart - rate - beating,oxycodone,Depressant / sedatives,"...but not the kind of jitteriness i get when i drink too much coffee too fast . it more like when it cold outside and my jaw muscles clench up and... - TBS:0.564  (<a href=https://erowid.org/experiences/exp.php?ID=81006#:~:text=but%20not%20the,clench%20up%20and>URL</a>)"
7700,2,002 - heart - rate - beating,oxycodone,Depressant / sedatives,"...once in a while it would seem as though i taken a breath in too long . i felt that i needed to think about breathing . that can be a... - TBS:0.529  (<a href=https://erowid.org/experiences/exp.php?ID=15054#:~:text=once%20in%20a,can%20be%20a>URL</a>)"
7773,2,002 - heart - rate - beating,oxycodone,Depressant / sedatives,"...lay down thinking i was going to die cause my my heart was beating so fast . i try to calm myself , so i started to relax , i was... - TBS:0.451  (<a href=https://erowid.org/experiences/exp.php?ID=41234#:~:text=lay%20down%20thinking,relax,%20I%20was>URL</a>)"
4452,2,002 - music - sound - playing,pcp,Dissociative psychedelics,"...the other side of the henry hudson parkway . i remember hearing PERSON murmur the time , which was . i start rolling the pcp . i not sure what form...- TBS:1.0  (NO URL)"
4486,2,002 - music - sound - playing,pcp,Dissociative psychedelics,"...the angles were wrong , and the music sounded like it was coming through a long sewer pipe , and everything was just , well , not it was until daylight... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=34595#:~:text=the%20angles%20were,was%20until%20daylight>URL</a>)"
4543,2,002 - music - sound - playing,pcp,Dissociative psychedelics,"...i was to seeds and stems again to quote a popular beat combo of the time . nothing else for it , have to lie down and have a wank ,... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=63397#:~:text=i%20was%20to,have%20a%20wank,>URL</a>)"
6264,2,002 - heart - rate - beating,piper methysticum,Depressant / sedatives,"...go to the store for some drinks before leaving i notice my heartbeat feels more rapid , and stronger . checking my pulse , i read about . minutes later i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=11395#:~:text=go%20to%20the,minutes%20later%20i>URL</a>)"
6265,2,002 - heart - rate - beating,piper methysticum,Depressant / sedatives,"...breath and my heart feels like a jackhammer . i go to the nifty pulse rate meter in the supermarket and it reads off and everything else is way too high... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=11395#:~:text=breath%20and%20my,way%20too%20high>URL</a>)"
7138,2,002 - heart - rate - beating,piper methysticum,Depressant / sedatives,"...from thoughts , but it felt like i did shots of caffeine because my heart rate went up . i am not a fan of caffeine or being jittery so i... - TBS:0.842  (<a href=https://erowid.org/experiences/exp.php?ID=107482#:~:text=from%20thoughts,%20but,jittery%20so%20i>URL</a>)"
7446,2,002 - heart - rate - beating,piper methysticum,Depressant / sedatives,"...off to the store on my bike getting there i realise i rode way to fast . i out of breath and my heart feels like a jackhammer . i go... - TBS:0.722  (<a href=https://erowid.org/experiences/exp.php?ID=11395#:~:text=off%20to%20the,jackhammer.%20I%20go>URL</a>)"
7796,2,002 - heart - rate - beating,piper methysticum,Depressant / sedatives,"...my concern was that in my stomach the release to my blood stream would be slower and i would be sleepy at work but at this point i did care ,... - TBS:0.418  (<a href=https://erowid.org/experiences/exp.php?ID=11728#:~:text=my%20concern%20was,I%20did%20care,>URL</a>)"
6440,2,002 - heart - rate - beating,piracetam,Depressant / sedatives,"...blood pressure is still climbing bpm . normally i would feel tense and in a hurry , but now , in spite of the active mood and doing many different things... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=68705#:~:text=blood%20pressure%20is,many%20different%20things>URL</a>)"
8139,2,002 - class - school - work,propylhexedrine,Stimulants,".... the itself is great , i feel quite productive and i can type much faster than usual , but since its am DATE DATE of a major project , not... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=114208#:~:text=.%20the%20itself,major%20project,%20not>URL</a>)"
8142,2,002 - class - school - work,propylhexedrine,Stimulants,"...again . its effects for focusing on work were incredible . in the maybe hour period i was working on my history homework , i finished a page essay and a... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=114837#:~:text=again.%20its%20effects,essay%20and%20a>URL</a>)"
8157,2,002 - class - school - work,propylhexedrine,Stimulants,"...kind of jittery , and my legs were bouncing around a lot . and as time went on , i started to get more ideas for my history projects , i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=114837#:~:text=kind%20of%20jittery,,history%20projects,%20i>URL</a>)"
8158,2,002 - class - school - work,propylhexedrine,Stimulants,"...i was doing and made me way more focused and motivated but also hit a fast forward button and made me scramble around and drop papers and it was sometimes difficult... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=114837#:~:text=i%20was%20doing,was%20sometimes%20difficult>URL</a>)"
8159,2,002 - class - school - work,propylhexedrine,Stimulants,"...focus and do things . i almost finished with my presentation and it was pretty fast , especially considering i have nt been able to focus on any schoolwork recently .... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=114837#:~:text=focus%20and%20do,any%20schoolwork%20recently.>URL</a>)"
9127,2,002 - music - song - guitar,psilocybin mushrooms,Serotonergic psychedelics,"...roller coaster . that thought started to scare the shit out of me , i quickly grabbed my phone and started searching for some music that would calm me down .... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=106334#:~:text=roller%20coaster.%20that,calm%20me%20down.>URL</a>)"
9140,2,002 - music - song - guitar,psilocybin mushrooms,Serotonergic psychedelics,"...minus the ambience . i was one with the music . having lost track of time , i could feel the effects slowly start to wear out after hours checked my... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=109956#:~:text=minus%20the%20ambience.,hours%20checked%20my>URL</a>)"
9160,2,002 - music - song - guitar,psilocybin mushrooms,Serotonergic psychedelics,"...song , regardless of how many minutes it was , felt like it was hours long . fifth , i have no physical desire to do them again but i do... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=114520#:~:text=song,%20regardless%20of,but%20I%20do>URL</a>)"
9165,2,002 - music - song - guitar,psilocybin mushrooms,Serotonergic psychedelics,"...it had played itself for us through j and we headed back to our campsite shortly after that . between the beauty of j and music and r talking me through... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=100681#:~:text=it%20had%20played,talking%20me%20through>URL</a>)"
9167,2,002 - music - song - guitar,psilocybin mushrooms,Serotonergic psychedelics,"...crazy sounds that i just could even believe . delicious wonderful sounds that came in long phrases , that oversatisfied me . the venue seemed to be divided into cubes and... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=37073#:~:text=crazy%20sounds%20that,into%20cubes%20and>URL</a>)"
9172,2,002 - music - song - guitar,psilocybin mushrooms,Serotonergic psychedelics,"..., man i replied as much to convince myself as to convince j . we quickly dropped the j suggested that i get off the couch and play some guitar .... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=72667#:~:text=,%20man%20I,play%20some%20guitar.>URL</a>)"
9173,2,002 - music - song - guitar,psilocybin mushrooms,Serotonergic psychedelics,"...song . other then that i preferred to stay in my head . fourth , time pretty much slowed to nil . my husband told me i kept saying during the... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=114520#:~:text=song.%20other%20then,saying%20during%20the>URL</a>)"
9174,2,002 - music - song - guitar,psilocybin mushrooms,Serotonergic psychedelics,"...every song felt like it went on for hours every minute moved at a snail pace . time was frozen and the peak was incredible . i am not sure how... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=114520#:~:text=every%20song%20felt,not%20sure%20how>URL</a>)"
9195,2,002 - music - song - guitar,psilocybin mushrooms,Serotonergic psychedelics,"...the modern world , for a few hours . not usually prone to sing at length unless alone , i found singing a more effective method of articulating sudden thoughts PLACEHOLDER... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=61935#:~:text=the%20modern%20world,,sudden%20thoughts%20PLACEHOLDER>URL</a>)"
9197,2,002 - music - song - guitar,psilocybin mushrooms,Serotonergic psychedelics,"...on levels of understanding . tool , who is actually my favorite music of all time , has a sentence on their album aenima that says is no such thing as... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=52679#:~:text=on%20levels%20of,such%20thing%20as>URL</a>)"
10652,2,002 - music - song - voices,salvia divinorum,Other,"...my speech and i could walk straight it was fun , it did last very long , it seemed like second woohoo . it was sort of like smoking some good... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=3110#:~:text=my%20speech%20and,smoking%20some%20good>URL</a>)"
10655,2,002 - music - song - voices,salvia divinorum,Other,"..., and the stereo released a bass note . this stuff does something funky with time . the fear of the first trial was not so oppressive , and i decided... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=75646#:~:text=,%20and%20the,and%20I%20decided>URL</a>)"
10656,2,002 - music - song - voices,salvia divinorum,Other,"...the second experiment was performed at home . i had my eyes closed , and slow electronic dub playing in the background . as the charge filled my lungs , time... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=75646#:~:text=the%20second%20experiment,my%20lungs,%20time>URL</a>)"
10658,2,002 - music - song - voices,salvia divinorum,Other,"or a sound from the sound system , and it really matter either way . time passed even move said one of the . i considered the possibility that it was"
10660,2,002 - music - song - voices,salvia divinorum,Other,"...light , were trying to make out my blurry surroundings , but my ears were faster . as soon as i heard the familiar monotonous singing , and silence beyond ,... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=86607#:~:text=light,%20were%20trying,and%20silence%20beyond,>URL</a>)"
10668,2,002 - music - song - voices,salvia divinorum,Other,"...to look at my friends , and they told me later that i was speaking fast , loud , unintelligible snippets of partly english and bizarre gibberish . this caused them... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=48637#:~:text=to%20look%20at,this%20caused%20them>URL</a>)"
10669,2,002 - music - song - voices,salvia divinorum,Other,"...refer to as the voice only because the name voice i afraid to use , slowly emerges from the of my head and i have just enough time to tune in... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=84314#:~:text=refer%20to%20as,to%20tune%20in>URL</a>)"
10679,2,002 - music - song - voices,salvia divinorum,Other,".... the clapping had a rhythm , and the rhythm was a word a very long word , or perhaps it was only love , as all i can see of... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=15862#:~:text=.%20the%20clapping,can%20see%20of>URL</a>)"
10681,2,002 - music - song - voices,salvia divinorum,Other,"...disbelief i tried to put my arm around my once more , but he then slowly faded away . then i listened to more pink floyd staring at my wall hoping... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=27314#:~:text=disbelief%20I%20tried,my%20wall%20hoping>URL</a>)"
10693,2,002 - music - song - voices,salvia divinorum,Other,"...visuals of things i have never seen an can not describe other than after a long period of living through the sounds i was hearing from outside , i remember radiohead... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=34224#:~:text=visuals%20of%20things,I%20remember%20radiohead>URL</a>)"
7013,2,002 - heart - rate - beating,sceletium tortuosum,Depressant / sedatives,"...had a racing heart . lying down generally took care of the problem and as long as i did try anything too active i be ok . this is something i... - TBS:0.888  (<a href=https://erowid.org/experiences/exp.php?ID=14384#:~:text=had%20a%20racing,is%20something%20i>URL</a>)"
7788,2,002 - heart - rate - beating,sceletium tortuosum,Depressant / sedatives,...anything in particular . i began to wonder whether PERSON was all about the small shortly afterwards i thought i would test my anxiety levels by doing something that would normally...- TBS:0.427  (NO URL)
8147,2,002 - class - school - work,substituted piperazines,Stimulants,"...come up with all sorts of problems to work through and work through each one quickly and with great i even can solve complex math problems that i usually would have... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=57882#:~:text=come%20up%20with,usually%20would%20have>URL</a>)"
8319,2,002 - class - school - work,substituted piperazines,Stimulants,"...i even can solve complex math problems that i usually would have not the required time , brainpower or concentration for . this chemical certainly has therapeutic and research implications .... - TBS:0.926  (<a href=https://erowid.org/experiences/exp.php?ID=57882#:~:text=i%20even%20can,and%20research%20implications.>URL</a>)"
6423,2,002 - heart - rate - beating,tramadol,Depressant / sedatives,"...sharply awake when i gasp for air , i realise that my heart has seriously slowed down and i can not breath well unless i force myself to . i am... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=62694#:~:text=sharply%20awake%20when,to.%20I%20am>URL</a>)"
6808,2,002 - heart - rate - beating,tramadol,Depressant / sedatives,"...raging chest infection . i was prescribed codeine cough medicine . my chest infection subsided shortly thereafter , but i continued to take the cough medicine because it helped me fall... - TBS:0.96  (<a href=https://erowid.org/experiences/exp.php?ID=64727#:~:text=raging%20chest%20infection.,helped%20me%20fall>URL</a>)"
6939,2,002 - heart - rate - beating,tramadol,Depressant / sedatives,"...due to being light headed and worry free i noticed my breathing was a little slower than normal . in fact , i was breathing very shallow and needed to manually... - TBS:0.911  (<a href=https://erowid.org/experiences/exp.php?ID=82060#:~:text=due%20to%20being,needed%20to%20manually>URL</a>)"
7043,2,002 - heart - rate - beating,tramadol,Depressant / sedatives,"...thing even if i try . feel a lot more energized . breathing and heartbeat slowed down even more . i decided to clean my house , check my email ,... - TBS:0.88  (<a href=https://erowid.org/experiences/exp.php?ID=114665#:~:text=thing%20even%20if,check%20my%20email,>URL</a>)"
7105,2,002 - heart - rate - beating,tramadol,Depressant / sedatives,"...starting to worry , so the anxiety could be playing an important role heart still fast , going around bpm while resting . cotton mouth and throat feels dry . still... - TBS:0.853  (<a href=https://erowid.org/experiences/exp.php?ID=113030#:~:text=starting%20to%20worry,,feels%20dry.%20still>URL</a>)"
7509,2,002 - heart - rate - beating,tramadol,Depressant / sedatives,"..., i did know if i was going to die or not , my heart rate would not go down , and on top of that i could piss to save... - TBS:0.687  (<a href=https://erowid.org/experiences/exp.php?ID=44485#:~:text=,%20I%20did,piss%20to%20save>URL</a>)"
7565,2,002 - heart - rate - beating,tramadol,Depressant / sedatives,"...was going to die , i thought i was having a heart attack as my rate easily rose to . then i realized i was lying in a pool of sweat... - TBS:0.65  (<a href=https://erowid.org/experiences/exp.php?ID=106778#:~:text=was%20going%20to,pool%20of%20sweat>URL</a>)"
7589,2,002 - heart - rate - beating,tramadol,Depressant / sedatives,"...die what were you thinking but i calmed myself with serene thoughts . my heart rate seemed to slow after that , however it would speed up manically independent from any... - TBS:0.625  (<a href=https://erowid.org/experiences/exp.php?ID=44485#:~:text=die%20what%20were,independent%20from%20any>URL</a>)"
7593,2,002 - heart - rate - beating,tramadol,Depressant / sedatives,"...down , that everything would probably be okay . my heartbeat went up to the pace of a drum , and i knew that it was very unhealthy . i crawled... - TBS:0.624  (<a href=https://erowid.org/experiences/exp.php?ID=44485#:~:text=down,%20that%20everything,unhealthy.%20I%20crawled>URL</a>)"
7774,2,002 - heart - rate - beating,tramadol,Depressant / sedatives,"...watching myself through my own eyes . i was jittery , lost my temper very quickly , had a racing that sometimes made me worried i was damaging my organs ,... - TBS:0.448  (<a href=https://erowid.org/experiences/exp.php?ID=81504#:~:text=watching%20myself%20through,damaging%20my%20organs,>URL</a>)"
7671,2,002 - heart - rate - beating,turnera diffusa,Depressant / sedatives,"...hung open , and i could feel my heart beating hard , but not really fast . i felt tingly and woozy all over . it was pleasant and different .... - TBS:0.568  (<a href=https://erowid.org/experiences/exp.php?ID=1368#:~:text=hung%20open,%20and,pleasant%20and%20different.>URL</a>)"
7794,2,002 - heart - rate - beating,valeriana officinalis,Depressant / sedatives,"...first moved out to my left , and then the sensation travelled across my chest slowly , so that when i exhaled i felt it on my right side . otherwise... - TBS:0.422  (<a href=https://erowid.org/experiences/exp.php?ID=3313#:~:text=first%20moved%20out,right%20side.%20otherwise>URL</a>)"
6408,2,002 - heart - rate - beating,zolpidem,Depressant / sedatives,".... . no surprise . one of the chambers in my heart was filling too fast . aka . my heart was beating too fast . which was likely stemming from... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=45628#:~:text=..%20no%20surprise.,likely%20stemming%20from>URL</a>)"
5012,3,003 - heart - rate - pulse,6-apb,Entactogens,"...first onset was the usual feeling cold and a slight swimming feeling followed by a steady wave rushing over my senses peaking at a great high . had a slight cloudiness... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=93982#:~:text=first%20onset%20was,a%20slight%20cloudiness>URL</a>)"
5013,3,003 - heart - rate - pulse,6-apb,Entactogens,"...started getting slight feelings throughout my body , feeling almost like waves or electric currents slowly flowing up and down through my we put on some music and just sat back... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=93594#:~:text=started%20getting%20slight,just%20sat%20back>URL</a>)"
5043,3,003 - heart - rate - pulse,6-apb,Entactogens,"..., diet , setting or any other attribute that i could while an increased heart rate was often experienced , i never recorded a resting heart rate of more than bpm... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=112045#:~:text=,%20diet,%20setting,more%20than%20bpm>URL</a>)"
5206,3,003 - heart - rate - pulse,6-apb,Entactogens,"...now feel that warm fuzzy dissociation both inside and out . this experience is not speedy in the least , with there still being no shaking . it feels much less... - TBS:0.786  (<a href=https://erowid.org/experiences/exp.php?ID=110375#:~:text=now%20feel%20that,feels%20much%20less>URL</a>)"
5214,3,003 - heart - rate - pulse,6-apb,Entactogens,"..., while i certainly had the energy to physical stuff like play racketball , i quickly found that prolonged physical activity was because of a mild hyperthermia risk . i had... - TBS:0.754  (<a href=https://erowid.org/experiences/exp.php?ID=94834#:~:text=,%20while%20I,risk.%20I%20had>URL</a>)"
10372,3,003 - time - reality - life,cannabis spp.,Depressant / sedatives,"...had many , many experiences , seeming to be in my mind , which disregarded time very much . it was as if time was only an earthly restraint and i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=54761#:~:text=had%20many,%20many,restraint%20and%20i>URL</a>)"
10376,3,003 - time - reality - life,cannabis spp.,Depressant / sedatives,"...me peace of mind while i was sinking deep , deep into my own what time is it i believe it was around when i first asked that question . after... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=114469#:~:text=me%20peace%20of,that%20question.%20after>URL</a>)"
10413,3,003 - time - reality - life,cannabis spp.,Depressant / sedatives,"...by far the most insightful . in the past , i have been by the slow passage of time , or the fleeting moments when i believed myself to be in... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=3038#:~:text=by%20far%20the,to%20be%20in>URL</a>)"
10453,3,003 - time - reality - life,cannabis spp.,Depressant / sedatives,"...i find that hard to believe . at this point i have no idea of time , or even the existence of time . i feel like i being sucked into... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=41819#:~:text=i%20find%20that,being%20sucked%20into>URL</a>)"
10457,3,003 - time - reality - life,cannabis spp.,Depressant / sedatives,"...everything was still i continued to lay there for a while , any concept of time at this point was absolutely unthinkable , and i got higher and higher . i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=29873#:~:text=everything%20was%20still,and%20higher.%20i>URL</a>)"
10471,3,003 - time - reality - life,cannabis spp.,Depressant / sedatives,"...i was taping into my inner self and began to elaborate on the subject of time . i said what i felt and what i had thought about before . i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=60690#:~:text=i%20was%20taping,about%20before.%20i>URL</a>)"
10560,3,003 - time - reality - life,cannabis spp.,Depressant / sedatives,"...had finished what i came to do in my everything had happened so fluidly and time had completely ceased to exist as if i had escaped out of the dimension i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=87742#:~:text=had%20finished%20what,the%20dimension%20i>URL</a>)"
10609,3,003 - time - reality - life,cannabis spp.,Depressant / sedatives,"...had something laced in for some reason i thought i was stuck in an eternal time loop , and that i would be in that moment forever . i have no... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=114886#:~:text=had%20something%20laced,I%20have%20no>URL</a>)"
10615,3,003 - time - reality - life,cannabis spp.,Depressant / sedatives,world matter and everything was at everything with the world was good . he recalls time not having meaning or as though being in present moment . for me the experience
10649,3,003 - time - reality - life,cannabis spp.,Depressant / sedatives,"...drop off his duffel bag . i was already trapped in a foreign dimension where time seemed to literally stop . the words shit filled my mind as i realized ,... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=77874#:~:text=drop%20off%20his,as%20I%20realized,>URL</a>)"
5046,3,003 - heart - rate - pulse,iap,Entactogens,"...noticeable mood elevation . content . t , burning almost completely gone , very transitory period of bp spike and heart palpitation at about t but already gone . i can... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=51405#:~:text=noticeable%20mood%20elevation.,gone.%20I%20can>URL</a>)"
5161,3,003 - heart - rate - pulse,mbdb,Entactogens,"...suddenly . feels kind of like i was swept away on a cloud . heart rate a bit fast . there were some fans on in the room , and they... - TBS:0.918  (<a href=https://erowid.org/experiences/exp.php?ID=15391#:~:text=suddenly.%20feels%20kind,room,%20and%20they>URL</a>)"
5050,3,003 - heart - rate - pulse,mda,Entactogens,"...of which to kill the experience and lower my physical symptoms blood pressure , heart rate more on that later about hours into the experience everything hit me like a ton... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=112177#:~:text=of%20which%20to,like%20a%20ton>URL</a>)"
5056,3,003 - heart - rate - pulse,mda,Entactogens,"..., at i started to have a panic attack . my heart started to beat faster , and i felt dizzy . i got up , went to the bathroom and... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=21744#:~:text=,%20at%20I,the%20bathroom%20and>URL</a>)"
5164,3,003 - heart - rate - pulse,mda,Entactogens,"...and popped one . gentle , calm come up , really intense , intimate , long lasting peak , a tingling sensation over my whole body , lots of energy ,... - TBS:0.909  (<a href=https://erowid.org/experiences/exp.php?ID=97961#:~:text=and%20popped%20one.,lots%20of%20energy,>URL</a>)"
5177,3,003 - heart - rate - pulse,mda,Entactogens,"...had to stay off work , because i was feeling fatigue , anxious and a faster pulse rate . i was really worried i turned mentally ill , and decided to... - TBS:0.88  (<a href=https://erowid.org/experiences/exp.php?ID=21744#:~:text=had%20to%20stay,and%20decided%20to>URL</a>)"
5092,3,003 - heart - rate - pulse,mdai,Entactogens,"...on a light dose of . nervousness in the belly , dry mouth . heart rate is quite pm dosed an additional at this point i figure if i am going... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=99396#:~:text=on%20a%20light,I%20am%20going>URL</a>)"
10071,3,003 - heart - rate - body,mdma,Entactogens,"...was talking with someone when suddenly i started feeling really unwell , like i might pass out or something . i could feel my heart start to race and suddenly the... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=91904#:~:text=was%20talking%20with,and%20suddenly%20the>URL</a>)"
10078,3,003 - heart - rate - body,mdma,Entactogens,"...i began to feel a dreamlike warmth wrapping around my body . the onset began slowly and gradually like i was being lifted up and the world around my slowly became... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=58498#:~:text=i%20began%20to,my%20slowly%20became>URL</a>)"
10080,3,003 - heart - rate - body,mdma,Entactogens,"...it felt as though it moved all the way to the tip of my hip length hair . it had been a long time since i had felt a rush so... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=58498#:~:text=it%20felt%20as,a%20rush%20so>URL</a>)"
